id;Model;Year;Region;Color;Fuel_Type;Transmission;Engine_Size_L;Mileage_KM;Price_USD;Sales_Volume;Sales_Classification
10487;i3;2012;Africa;Red;Hybrid;Automatic;39;161048;98934;8094;High
10488;5 Series;2024;Middle East;White;Diesel;Automatic;36;190983;44792;4883;Low
10489;X3;2012;Africa;Silver;Diesel;Automatic;45;47390;100423;6642;Low
10490;X1;2011;Africa;White;Electric;Automatic;30;85739;70714;7867;High
10491;X3;2011;Africa;Blue;Hybrid;Manual;17;172487;47382;4192;Low
10492;M5;2023;North America;Grey;Hybrid;Manual;35;130115;33140;8678;High
10493;X1;2021;Europe;Blue;Hybrid;Automatic;49;140063;41743;8609;High
10494;X6;2022;South America;White;Diesel;Manual;16;75910;40639;4216;Low
10495;M5;2019;Middle East;White;Diesel;Automatic;23;188557;67786;1917;Low
10496;M5;2014;South America;Black;Electric;Manual;26;120225;88703;2720;Low
10497;X3;2018;Asia;White;Electric;Automatic;42;83140;33120;2279;Low
10498;i3;2011;Asia;Black;Electric;Manual;26;30219;91386;5622;Low
10499;i8;2011;Asia;Silver;Petrol;Manual;23;135252;73976;1320;Low
10500;X1;2021;Africa;White;Diesel;Automatic;38;153976;47258;8041;High
10501;i3;2015;South America;Black;Electric;Automatic;17;86604;107489;1566;Low
10502;X1;2022;Asia;Black;Hybrid;Manual;21;121432;118657;3614;Low
10503;i3;2024;Middle East;Blue;Petrol;Manual;29;31265;77232;9202;High
10504;X6;2019;South America;Silver;Electric;Manual;27;9001;100467;8425;High
10505;i3;2011;Europe;Silver;Electric;Automatic;27;149311;43541;3728;Low
10506;X6;2021;South America;White;Diesel;Manual;19;36587;112829;8185;High
10507;7 Series;2013;Africa;Blue;Diesel;Manual;28;147448;88689;6247;Low
10508;M5;2015;South America;Silver;Hybrid;Automatic;43;5679;95256;3650;Low
10509;X1;2014;Africa;Silver;Electric;Automatic;29;140304;44981;3008;Low
10510;X6;2010;Asia;Grey;Electric;Manual;36;77460;113935;378;Low
10511;X6;2024;Middle East;Black;Hybrid;Manual;21;134414;43529;485;Low
10512;M5;2015;Asia;Black;Hybrid;Manual;17;66073;58484;4840;Low
10513;5 Series;2010;Asia;Silver;Diesel;Automatic;46;104546;67218;5145;Low
10514;i8;2012;Middle East;Red;Petrol;Automatic;27;97113;118370;4245;Low
10515;7 Series;2019;North America;Blue;Hybrid;Automatic;27;173195;118244;7245;High
10516;3 Series;2014;Africa;Black;Hybrid;Manual;46;164347;113238;1491;Low
10517;3 Series;2023;Europe;Grey;Diesel;Automatic;40;124949;81072;8146;High
10518;X6;2019;Africa;Red;Diesel;Manual;41;100297;87339;5811;Low
10519;5 Series;2022;Asia;Red;Petrol;Manual;39;59619;31237;1004;Low
10520;7 Series;2014;Africa;Blue;Hybrid;Automatic;19;182113;106108;2015;Low
10521;X5;2022;North America;Silver;Electric;Manual;49;171220;55919;7424;High
10522;7 Series;2019;Africa;Red;Diesel;Automatic;47;154976;109212;1535;Low
10523;i3;2015;North America;Blue;Hybrid;Manual;23;172972;98806;2545;Low
10524;X5;2024;Middle East;Grey;Diesel;Automatic;43;49854;62795;7833;High
10525;M5;2021;Middle East;Blue;Hybrid;Manual;29;75291;104495;4765;Low
10526;3 Series;2019;Africa;Silver;Diesel;Manual;39;131022;90494;5924;Low
10527;X5;2017;South America;Black;Diesel;Manual;21;13917;70447;1225;Low
10528;X1;2014;Europe;White;Diesel;Automatic;34;175064;36859;3930;Low
10529;i3;2023;Middle East;Black;Petrol;Manual;19;30652;103590;9736;High
10530;X6;2024;Africa;Blue;Diesel;Manual;34;121713;99228;5657;Low
10531;M5;2020;Africa;Black;Electric;Automatic;24;13775;44885;7607;High
10532;3 Series;2010;North America;Grey;Diesel;Automatic;31;197897;118215;2128;Low
10533;X5;2014;Asia;White;Electric;Manual;38;144152;63987;6260;Low
10534;5 Series;2012;Europe;White;Hybrid;Automatic;46;34699;51813;8307;High
10535;X1;2013;Middle East;Grey;Diesel;Manual;21;149991;80335;4129;Low
10536;X6;2024;Asia;Grey;Petrol;Automatic;46;181320;103580;2318;Low
10537;X1;2024;Africa;Red;Electric;Manual;29;74963;87221;4013;Low
10538;3 Series;2022;North America;Black;Diesel;Automatic;45;95013;112367;9489;High
10539;M5;2017;Africa;Black;Hybrid;Automatic;33;101969;32689;8360;High
10540;M3;2016;Asia;Red;Petrol;Manual;45;23260;48660;7895;High
10541;X6;2020;North America;Red;Hybrid;Automatic;38;29860;65772;8300;High
10542;X1;2014;Middle East;Red;Diesel;Automatic;33;143802;64133;781;Low
10543;7 Series;2011;North America;Silver;Hybrid;Manual;26;132976;108191;7577;High
10544;M5;2015;North America;Blue;Diesel;Manual;49;395;74742;1836;Low
10545;3 Series;2020;North America;Blue;Diesel;Manual;43;179108;110161;9529;High
10546;X1;2015;Asia;Grey;Electric;Automatic;28;110175;38540;5257;Low
10547;i8;2019;Asia;White;Diesel;Manual;21;27147;55061;914;Low
10548;i3;2019;Africa;Black;Hybrid;Manual;42;2982;76524;5912;Low
10549;7 Series;2023;Asia;Red;Petrol;Manual;50;109771;107908;4653;Low
10550;7 Series;2020;Asia;Grey;Electric;Manual;25;175072;78253;9966;High
10551;M3;2015;Africa;Black;Electric;Manual;47;165175;58858;1008;Low
10552;X6;2023;South America;Red;Petrol;Manual;19;95738;59813;3855;Low
10553;5 Series;2018;North America;Silver;Petrol;Automatic;48;194666;53751;306;Low
10554;7 Series;2020;Asia;Red;Diesel;Automatic;41;188319;52902;6965;Low
10555;7 Series;2017;Europe;Red;Hybrid;Automatic;27;119703;35882;9667;High
10556;X5;2017;Middle East;Grey;Diesel;Automatic;26;60062;69061;9707;High
10557;X5;2010;Asia;Blue;Petrol;Automatic;38;74941;54230;1347;Low
10558;X1;2014;Asia;Blue;Diesel;Manual;36;109550;72062;9730;High
10559;5 Series;2016;Middle East;Silver;Electric;Automatic;47;87513;119576;2198;Low
10560;M3;2015;Asia;Blue;Petrol;Manual;42;134657;95464;677;Low
10561;X3;2014;Africa;Red;Hybrid;Automatic;34;119859;69631;6427;Low
10562;X5;2017;North America;Blue;Diesel;Automatic;47;195152;40521;2398;Low
10563;M5;2012;Africa;Red;Electric;Manual;36;37504;45217;9671;High
10564;X1;2015;Asia;Blue;Diesel;Manual;45;64307;88635;601;Low
10565;i3;2024;Asia;Grey;Petrol;Automatic;44;17758;89366;5580;Low
10566;X5;2014;Asia;Grey;Electric;Manual;47;188795;31030;3841;Low
10567;5 Series;2017;Asia;Grey;Diesel;Manual;17;122972;60269;250;Low
10568;i3;2013;South America;Red;Diesel;Automatic;35;25068;60716;9450;High
10569;3 Series;2017;North America;Blue;Electric;Manual;31;103267;65177;2570;Low
10570;X6;2019;Europe;Blue;Electric;Manual;32;176135;42799;5662;Low
10571;5 Series;2023;Europe;White;Diesel;Automatic;31;61795;109372;4569;Low
10572;3 Series;2024;Europe;Red;Petrol;Manual;44;99246;68334;1531;Low
10573;3 Series;2011;Africa;White;Electric;Automatic;26;49812;41202;6513;Low
10574;7 Series;2018;Middle East;Blue;Diesel;Automatic;31;162122;72498;8459;High
10575;X1;2022;Middle East;White;Hybrid;Automatic;22;189835;71763;9956;High
10576;5 Series;2018;Asia;Grey;Diesel;Automatic;24;146649;76907;2445;Low
10577;i8;2024;South America;Silver;Diesel;Manual;38;95578;108868;2359;Low
10578;X5;2023;Africa;Grey;Diesel;Automatic;19;180001;103970;9554;High
10579;i8;2019;North America;Grey;Electric;Manual;22;42697;56962;8983;High
10580;M3;2019;Europe;White;Petrol;Automatic;33;24058;47483;8903;High
10581;X5;2022;Africa;Black;Hybrid;Manual;17;9977;68721;7535;High
10582;i8;2015;South America;Silver;Electric;Automatic;19;188360;52327;8131;High
10583;X3;2013;North America;Red;Electric;Automatic;45;111974;118248;4190;Low
10584;M5;2013;Africa;Blue;Electric;Manual;45;11979;45571;7233;High
10585;M3;2022;Middle East;Blue;Electric;Manual;27;22608;50636;643;Low
10586;i3;2015;South America;Grey;Electric;Automatic;27;155432;83595;3436;Low
10587;M5;2014;North America;Blue;Hybrid;Automatic;48;52727;99545;9388;High
10588;X1;2015;Europe;Silver;Diesel;Manual;16;112098;102611;3815;Low
10589;5 Series;2016;Asia;Red;Diesel;Automatic;35;92636;69202;2956;Low
10590;X3;2016;North America;Black;Petrol;Manual;36;74030;102221;4669;Low
10591;5 Series;2018;Europe;Black;Hybrid;Manual;43;43790;77183;8571;High
10592;7 Series;2017;Africa;White;Hybrid;Manual;48;65374;103130;8290;High
10593;M3;2022;Middle East;Black;Electric;Manual;27;52427;71394;9329;High
10594;X3;2015;Asia;White;Petrol;Automatic;30;35887;91255;3155;Low
10595;3 Series;2021;Europe;Grey;Hybrid;Automatic;38;25039;69848;1492;Low
10596;X1;2015;Africa;Grey;Hybrid;Manual;49;81574;69502;625;Low
10597;X3;2024;North America;Black;Petrol;Manual;46;89093;37333;2345;Low
10598;5 Series;2023;South America;Silver;Hybrid;Automatic;38;42327;113100;4973;Low
10599;M3;2014;Asia;White;Diesel;Automatic;45;129207;37975;3177;Low
10600;X6;2010;Asia;Blue;Electric;Automatic;18;70507;36541;4463;Low
10601;i3;2018;North America;Silver;Diesel;Automatic;28;107977;45533;8987;High
10602;X6;2018;Africa;Blue;Hybrid;Manual;15;87772;111628;7879;High
10603;M5;2018;Africa;Silver;Diesel;Automatic;21;153096;82397;7362;High
10604;5 Series;2024;Africa;Grey;Diesel;Automatic;37;170892;109963;8958;High
10605;M5;2020;Middle East;Silver;Petrol;Manual;46;113906;106365;820;Low
10606;X1;2017;Africa;Blue;Hybrid;Automatic;37;63514;108196;2354;Low
10607;X3;2022;Asia;Silver;Diesel;Automatic;38;179812;119155;9126;High
10608;5 Series;2019;Europe;Red;Electric;Manual;19;173703;64789;9087;High
10609;X5;2022;Middle East;Grey;Hybrid;Manual;38;44212;94678;2696;Low
10610;5 Series;2012;South America;Grey;Electric;Automatic;31;67305;73514;2199;Low
10611;M3;2010;Africa;Red;Electric;Manual;38;105475;35299;216;Low
10612;X6;2020;Middle East;Red;Diesel;Automatic;26;162249;88334;1781;Low
10613;X1;2021;Africa;Red;Diesel;Manual;35;31400;119104;5714;Low
10614;5 Series;2021;Middle East;Grey;Diesel;Automatic;30;94669;117155;1228;Low
10615;5 Series;2017;North America;Grey;Electric;Manual;35;156873;64508;8632;High
10616;i8;2016;North America;Grey;Diesel;Manual;20;64199;98941;7344;High
10617;X6;2022;South America;Blue;Hybrid;Automatic;29;6789;38570;8557;High
10618;X6;2014;North America;Red;Electric;Manual;28;132868;78912;2941;Low
10619;5 Series;2019;Middle East;White;Petrol;Automatic;41;103316;46256;9988;High
10620;3 Series;2016;Europe;Grey;Electric;Manual;40;199574;71360;2159;Low
10621;i3;2019;Middle East;Black;Diesel;Manual;47;109364;84836;4383;Low
10622;7 Series;2013;Africa;Red;Petrol;Manual;37;7379;98157;3765;Low
10623;3 Series;2018;South America;White;Hybrid;Manual;26;176766;40130;1739;Low
10624;X3;2020;North America;White;Hybrid;Manual;42;188041;115795;7578;High
10625;X3;2019;North America;Blue;Electric;Manual;32;60625;84041;224;Low
10626;i8;2023;Middle East;Red;Petrol;Manual;22;22419;44097;2853;Low
10627;X5;2011;Europe;Black;Petrol;Manual;41;50095;69343;9185;High
10628;7 Series;2018;Africa;Grey;Petrol;Manual;20;22623;31450;6221;Low
10629;i8;2018;Europe;Silver;Electric;Automatic;21;102620;92496;1335;Low
10630;i3;2014;South America;White;Electric;Automatic;42;294;48875;3126;Low
10631;M5;2020;Middle East;Red;Petrol;Automatic;42;123264;106819;8054;High
10632;M5;2010;Africa;Silver;Hybrid;Automatic;43;86591;89855;5119;Low
10633;i8;2016;Middle East;Blue;Electric;Manual;25;33326;112426;7937;High
10634;7 Series;2019;Asia;Blue;Hybrid;Automatic;45;79706;90139;5664;Low
10635;i8;2019;Africa;Silver;Hybrid;Automatic;40;118754;41735;4793;Low
10636;X5;2013;Europe;Grey;Diesel;Automatic;44;194685;99751;6214;Low
10637;5 Series;2018;Africa;Blue;Hybrid;Automatic;40;94555;49067;8057;High
10638;X3;2015;Europe;Grey;Hybrid;Manual;35;110383;32453;5653;Low
10639;X6;2022;North America;Grey;Hybrid;Manual;19;167925;59887;2269;Low
10640;X3;2012;South America;Grey;Diesel;Automatic;40;30825;118367;595;Low
10641;3 Series;2015;Middle East;Red;Diesel;Manual;39;103273;119430;2300;Low
10642;i8;2022;Europe;Blue;Diesel;Manual;26;167889;97488;8408;High
10643;M3;2019;South America;Red;Electric;Manual;41;80253;114926;9889;High
10644;5 Series;2015;Europe;Grey;Hybrid;Automatic;34;92385;57040;9780;High
10645;X6;2014;North America;Grey;Diesel;Automatic;35;24178;99607;913;Low
10646;i3;2011;Asia;Grey;Petrol;Automatic;28;135570;64383;8748;High
10647;M5;2019;Europe;White;Hybrid;Automatic;19;73815;47114;6616;Low
10648;M5;2019;Asia;White;Diesel;Automatic;23;96481;77949;3882;Low
10649;X6;2011;Africa;Blue;Petrol;Automatic;42;79839;70895;5456;Low
10650;M5;2016;Middle East;Black;Diesel;Automatic;25;133441;94390;7715;High
10651;7 Series;2011;South America;Silver;Electric;Manual;15;7743;65323;2194;Low
10652;5 Series;2021;North America;Silver;Hybrid;Manual;50;153439;55801;6882;Low
10653;7 Series;2015;South America;Grey;Electric;Manual;22;194375;103470;5718;Low
10654;5 Series;2014;Asia;Grey;Hybrid;Manual;38;13420;52091;1885;Low
10655;M3;2013;North America;Red;Hybrid;Manual;47;89021;75004;5593;Low
10656;M3;2016;South America;Red;Hybrid;Manual;36;150452;107837;9205;High
10657;X1;2017;South America;Silver;Electric;Manual;43;109768;51194;1236;Low
10658;i3;2013;Europe;Silver;Hybrid;Manual;49;81814;76170;2300;Low
10659;X3;2010;Africa;Grey;Diesel;Automatic;45;96630;103294;6201;Low
10660;i3;2010;Europe;Blue;Electric;Automatic;35;58140;113016;3491;Low
10661;X6;2010;Middle East;White;Diesel;Manual;28;42054;31644;1427;Low
10662;M5;2020;Middle East;Red;Electric;Manual;32;44420;84038;2523;Low
10663;X3;2010;Asia;Grey;Electric;Automatic;44;48423;98295;5928;Low
10664;X5;2014;Middle East;Blue;Hybrid;Manual;45;144543;42685;1356;Low
10665;5 Series;2013;Asia;Black;Hybrid;Automatic;45;177511;108244;867;Low
10666;X6;2022;Africa;Black;Electric;Automatic;36;86786;83317;6070;Low
10667;i3;2023;North America;Black;Petrol;Manual;32;114109;73907;2598;Low
10668;i3;2018;Europe;Grey;Petrol;Manual;26;7335;85947;6130;Low
10669;i8;2024;South America;Blue;Electric;Manual;15;35756;49080;6470;Low
10670;i8;2012;Asia;Blue;Electric;Automatic;42;52818;114236;8554;High
10671;X6;2023;South America;Blue;Electric;Automatic;25;192856;95598;7389;High
10672;X3;2016;North America;Red;Hybrid;Automatic;27;122835;55207;4644;Low
10673;X3;2020;North America;Silver;Diesel;Automatic;45;130798;49745;2928;Low
10674;X5;2017;Africa;White;Petrol;Automatic;17;98789;85962;7804;High
10675;i8;2015;Europe;Red;Diesel;Manual;47;52362;95046;4967;Low
10676;i8;2021;South America;Grey;Petrol;Manual;15;71885;62524;3014;Low
10677;3 Series;2022;South America;Grey;Electric;Manual;48;108210;46223;4008;Low
10678;X5;2019;Asia;Black;Diesel;Automatic;31;154590;113057;3665;Low
10679;5 Series;2022;Africa;Black;Petrol;Automatic;19;122779;78768;8800;High
10680;M5;2010;Europe;Silver;Electric;Automatic;39;171040;54014;6043;Low
10681;3 Series;2017;South America;Grey;Hybrid;Manual;46;34945;85141;2012;Low
10682;X1;2024;North America;Black;Hybrid;Automatic;30;87669;110811;3269;Low
10683;M5;2019;Middle East;Blue;Electric;Automatic;39;77905;102310;7000;High
10684;7 Series;2012;North America;White;Electric;Manual;49;28781;94873;6947;Low
10685;M5;2017;North America;Grey;Electric;Automatic;23;106505;117649;9585;High
10686;X5;2021;Europe;Black;Hybrid;Manual;44;109285;85852;5785;Low
10687;X5;2013;Africa;Red;Hybrid;Manual;25;181646;113682;7371;High
10688;X3;2017;North America;White;Petrol;Automatic;30;41685;95153;5720;Low
10689;X6;2020;Europe;Blue;Hybrid;Manual;25;195482;67709;5797;Low
10690;M5;2010;Africa;White;Diesel;Manual;31;189909;59194;8299;High
10691;X5;2012;South America;Silver;Hybrid;Manual;15;199316;46672;1598;Low
10692;3 Series;2015;North America;White;Petrol;Manual;26;189854;77211;419;Low
10693;i8;2024;North America;Red;Electric;Automatic;31;152703;70808;8127;High
10694;X1;2024;Asia;Black;Electric;Manual;37;17889;117309;8777;High
10695;7 Series;2018;Africa;Blue;Electric;Automatic;37;4519;73125;1496;Low
10696;i8;2011;Asia;Silver;Hybrid;Automatic;35;167438;109623;2342;Low
10697;X1;2020;Asia;Silver;Electric;Manual;25;175983;65707;1001;Low
10698;i3;2010;Asia;Grey;Hybrid;Automatic;48;197033;106427;9354;High
10699;M5;2024;Middle East;Black;Diesel;Manual;29;98966;60187;5189;Low
10700;X6;2019;Africa;Blue;Electric;Manual;23;35647;80593;1312;Low
10701;M3;2012;South America;Grey;Petrol;Manual;34;137525;32400;5191;Low
10702;5 Series;2013;Asia;Red;Diesel;Manual;41;42503;107926;3190;Low
10703;i8;2020;Africa;Grey;Hybrid;Manual;15;198752;99634;8857;High
10704;i3;2014;North America;Blue;Electric;Automatic;25;122523;94115;5951;Low
10705;X6;2012;Asia;Blue;Petrol;Automatic;44;82502;58951;560;Low
10706;X5;2022;Middle East;Silver;Diesel;Manual;33;5091;57272;3058;Low
10707;X5;2019;Middle East;White;Petrol;Automatic;29;44522;98884;1860;Low
10708;5 Series;2020;Africa;White;Petrol;Manual;48;78220;69597;8655;High
10709;M5;2011;South America;Silver;Hybrid;Manual;18;121001;106834;2053;Low
10710;M5;2011;Middle East;Black;Diesel;Automatic;37;99486;117406;3565;Low
10711;X5;2016;Asia;Grey;Electric;Automatic;27;182284;70891;3201;Low
10712;i8;2018;North America;Red;Electric;Manual;17;23671;92704;4884;Low
10713;7 Series;2019;Middle East;Red;Petrol;Manual;22;144689;83438;3650;Low
10714;7 Series;2011;South America;Grey;Hybrid;Manual;37;41286;78595;3891;Low
10715;5 Series;2016;North America;White;Petrol;Manual;16;53159;51873;4171;Low
10716;5 Series;2016;Africa;Blue;Electric;Automatic;36;157619;32604;513;Low
10717;X6;2020;South America;Silver;Diesel;Automatic;48;122337;102779;8280;High
10718;M3;2016;Europe;Blue;Hybrid;Manual;43;117896;36864;8897;High
10719;7 Series;2012;South America;Red;Diesel;Manual;27;53151;100928;8352;High
10720;7 Series;2021;South America;Red;Hybrid;Automatic;20;166370;46379;4931;Low
10721;3 Series;2016;Africa;Silver;Petrol;Manual;31;94722;118835;264;Low
10722;X6;2010;Africa;Silver;Petrol;Manual;29;114367;80648;1595;Low
10723;i8;2019;Asia;Grey;Hybrid;Automatic;49;126845;36930;5565;Low
10724;7 Series;2010;Europe;Red;Hybrid;Automatic;50;67832;76067;2729;Low
10725;i3;2014;North America;Blue;Electric;Automatic;29;77388;117235;9220;High
10726;i3;2024;Middle East;Grey;Electric;Manual;20;22880;91213;613;Low
10727;X6;2011;North America;Black;Hybrid;Manual;47;142243;118057;8493;High
10728;i8;2018;Middle East;Red;Petrol;Automatic;43;133385;58563;8818;High
10729;X6;2024;North America;White;Electric;Manual;33;157411;99084;1063;Low
10730;5 Series;2016;South America;Blue;Hybrid;Automatic;28;42718;104796;6291;Low
10731;7 Series;2013;Asia;Grey;Petrol;Automatic;31;21760;59322;6706;Low
10732;X6;2013;Europe;Silver;Petrol;Automatic;47;140190;104943;8283;High
10733;3 Series;2011;Asia;Blue;Electric;Manual;21;118681;79683;8705;High
10734;M3;2014;Africa;Red;Diesel;Automatic;43;8741;36686;1926;Low
10735;7 Series;2013;Middle East;Silver;Hybrid;Automatic;16;55990;95300;2912;Low
10736;M3;2021;Asia;Silver;Hybrid;Automatic;47;23115;118678;4295;Low
10737;X3;2022;North America;Grey;Diesel;Automatic;33;107562;86817;9330;High
10738;M3;2010;Asia;Blue;Petrol;Manual;23;31794;74206;6401;Low
10739;i3;2021;Asia;Blue;Hybrid;Automatic;15;113756;77562;433;Low
10740;i8;2017;Africa;White;Diesel;Manual;35;107451;30198;8892;High
10741;M3;2012;Asia;Blue;Hybrid;Manual;24;133945;87899;3180;Low
10742;X3;2023;Asia;Black;Petrol;Manual;37;65083;102788;5191;Low
10743;X1;2015;Europe;White;Electric;Automatic;25;26315;89145;3368;Low
10744;5 Series;2013;Middle East;Blue;Hybrid;Manual;18;93188;92818;9881;High
10745;X6;2018;South America;White;Electric;Automatic;33;193577;71819;9848;High
10746;M3;2016;Africa;Silver;Electric;Manual;35;48385;108337;8894;High
10747;X1;2018;Asia;Blue;Electric;Automatic;31;3515;65621;9166;High
10748;X6;2019;Asia;Black;Petrol;Automatic;31;126349;63757;5661;Low
10749;7 Series;2012;Middle East;Blue;Hybrid;Automatic;36;148014;82180;6523;Low
10750;7 Series;2010;Asia;Blue;Diesel;Manual;33;41525;52632;1855;Low
10751;X5;2014;North America;Black;Hybrid;Automatic;20;73693;38999;8529;High
10752;X3;2012;Asia;Blue;Diesel;Automatic;22;164898;64970;1786;Low
10753;i3;2015;North America;Blue;Hybrid;Automatic;20;40494;114066;9259;High
10754;X5;2017;South America;Blue;Diesel;Manual;39;141691;77787;3657;Low
10755;M5;2020;South America;Red;Petrol;Manual;34;143746;82588;9694;High
10756;3 Series;2022;Europe;Blue;Electric;Manual;30;59324;89782;4247;Low
10757;i8;2013;Middle East;Red;Petrol;Automatic;43;157702;38553;7083;High
10758;M5;2014;Europe;Black;Petrol;Manual;26;27509;110155;8290;High
10759;i8;2014;Middle East;Grey;Diesel;Automatic;35;160061;38906;9979;High
10760;X5;2013;Middle East;Red;Petrol;Manual;18;121756;118349;1991;Low
10761;7 Series;2013;Asia;Black;Diesel;Automatic;41;197295;105771;2446;Low
10762;M5;2013;Middle East;Red;Hybrid;Manual;39;59161;81327;4325;Low
10763;7 Series;2013;North America;Red;Electric;Automatic;43;95869;76620;5828;Low
10764;M5;2013;Middle East;Silver;Petrol;Automatic;46;179162;54941;9486;High
10765;X3;2014;Europe;Blue;Hybrid;Manual;42;169106;65669;8654;High
10766;7 Series;2011;Asia;White;Petrol;Manual;45;115642;47805;3411;Low
10767;X3;2011;Middle East;Grey;Hybrid;Automatic;27;193253;40687;8072;High
10768;M3;2018;South America;Black;Electric;Manual;27;63059;86174;2696;Low
10769;7 Series;2011;Asia;Blue;Diesel;Manual;48;147287;59672;654;Low
10770;M3;2015;Asia;Red;Diesel;Automatic;47;23436;94575;5384;Low
10771;X1;2011;Europe;Red;Hybrid;Automatic;34;19973;108049;5474;Low
10772;X5;2014;North America;White;Hybrid;Automatic;28;122407;59006;3383;Low
10773;X1;2013;Middle East;Grey;Hybrid;Manual;45;179364;98963;7739;High
10774;M3;2021;Europe;Red;Electric;Automatic;26;4216;90718;7753;High
10775;3 Series;2016;Africa;Grey;Diesel;Automatic;20;91200;91826;9620;High
10776;3 Series;2024;South America;Grey;Diesel;Automatic;37;133427;75297;5968;Low
10777;i3;2016;Middle East;Silver;Diesel;Manual;16;180993;57503;6814;Low
10778;X6;2022;South America;White;Electric;Automatic;28;134373;65904;1293;Low
10779;i8;2015;South America;Grey;Petrol;Manual;43;51240;34111;8817;High
10780;X6;2019;North America;Blue;Electric;Manual;25;103511;38073;5016;Low
10781;X5;2014;Asia;White;Hybrid;Manual;48;31450;71930;9457;High
10782;5 Series;2010;Middle East;Silver;Hybrid;Automatic;48;67709;115816;4058;Low
10783;X3;2021;Africa;Silver;Hybrid;Manual;44;103048;80889;7009;High
10784;X3;2024;Asia;Black;Diesel;Manual;50;65525;68970;6475;Low
10785;X3;2012;Middle East;Silver;Diesel;Automatic;34;197220;66031;9769;High
10786;i8;2018;South America;Red;Petrol;Manual;35;182543;47963;6922;Low
10787;M3;2024;Africa;Blue;Electric;Automatic;44;16290;60313;5560;Low
10788;X3;2023;Europe;Grey;Electric;Automatic;32;124763;103049;9321;High
10789;3 Series;2010;Africa;White;Hybrid;Automatic;29;843;42425;2074;Low
10790;M5;2014;Europe;Grey;Hybrid;Automatic;37;25419;107413;688;Low
10791;M3;2011;Africa;Red;Petrol;Manual;38;195634;76089;204;Low
10792;7 Series;2013;Middle East;Blue;Electric;Automatic;41;45048;111103;9202;High
10793;X5;2023;Middle East;Silver;Electric;Automatic;38;18332;116928;9418;High
10794;X6;2023;Middle East;Red;Petrol;Manual;41;193906;33801;1902;Low
10795;X6;2020;Asia;Red;Petrol;Automatic;39;187058;49508;7401;High
10796;X6;2010;Middle East;Grey;Electric;Automatic;32;41172;53879;7193;High
10797;i3;2012;Middle East;Blue;Petrol;Manual;20;25232;58426;8191;High
10798;X5;2019;Europe;Silver;Electric;Automatic;42;52896;112242;6139;Low
10799;X5;2016;Middle East;Blue;Diesel;Manual;16;14113;81454;7303;High
10800;X1;2019;Africa;Silver;Petrol;Manual;50;195061;54588;8427;High
10801;7 Series;2024;Africa;Blue;Petrol;Automatic;44;148369;34083;3879;Low
10802;M5;2012;Asia;White;Hybrid;Automatic;38;187745;61788;342;Low
10803;X3;2013;Middle East;Red;Hybrid;Manual;49;99941;96476;7116;High
10804;X3;2011;Africa;Grey;Electric;Manual;36;99928;33045;816;Low
10805;i3;2012;Asia;Black;Hybrid;Automatic;17;23475;46378;5862;Low
10806;i8;2018;Middle East;Red;Petrol;Automatic;35;128946;31786;1427;Low
10807;X6;2012;Middle East;Silver;Hybrid;Manual;25;82145;64086;144;Low
10808;X5;2020;Europe;Blue;Petrol;Automatic;28;45691;90039;1196;Low
10809;i3;2014;Middle East;Blue;Electric;Manual;31;20529;33017;1032;Low
10810;5 Series;2011;South America;Silver;Petrol;Manual;42;79148;37090;4596;Low
10811;X6;2013;North America;Blue;Hybrid;Automatic;33;38742;51853;7435;High
10812;M3;2021;Middle East;White;Petrol;Manual;32;83500;89585;7822;High
10813;3 Series;2022;South America;Grey;Diesel;Manual;26;156485;84882;3768;Low
10814;i3;2016;South America;Grey;Petrol;Automatic;34;123750;99548;1060;Low
10815;3 Series;2023;South America;Silver;Diesel;Manual;24;180114;55188;4381;Low
10816;M3;2016;North America;Black;Diesel;Automatic;24;188324;118521;6306;Low
10817;X5;2021;Europe;Silver;Electric;Manual;42;48301;85514;8352;High
10818;X1;2012;Middle East;White;Petrol;Manual;27;75350;80893;106;Low
10819;X6;2014;Europe;Red;Hybrid;Manual;17;142926;85753;2446;Low
10820;3 Series;2010;Asia;White;Electric;Automatic;27;22145;117918;5965;Low
10821;i3;2019;North America;Silver;Diesel;Automatic;37;37720;99315;2878;Low
10822;i3;2019;Middle East;Red;Diesel;Manual;43;87019;68068;400;Low
10823;7 Series;2019;Europe;Black;Hybrid;Automatic;49;184135;60516;1319;Low
10824;i3;2020;Middle East;Silver;Hybrid;Automatic;41;192571;95319;879;Low
10825;X6;2010;Middle East;Black;Petrol;Manual;30;70724;119553;198;Low
10826;X1;2014;Africa;White;Electric;Automatic;25;112292;107748;7511;High
10827;M3;2022;Asia;Silver;Diesel;Manual;20;12883;91120;3314;Low
10828;X3;2019;Europe;White;Diesel;Manual;37;89423;56765;4432;Low
10829;M3;2018;Europe;Blue;Hybrid;Automatic;33;340;38432;9119;High
10830;X1;2010;North America;Silver;Hybrid;Manual;39;165540;32849;4913;Low
10831;X3;2010;North America;Silver;Diesel;Automatic;23;198329;54374;1628;Low
10832;M3;2013;North America;Red;Petrol;Automatic;26;141878;107420;5145;Low
10833;X3;2013;Middle East;Silver;Electric;Manual;25;157204;54365;7186;High
10834;i8;2011;Asia;White;Petrol;Automatic;43;56545;112710;1921;Low
10835;X6;2018;Middle East;Black;Petrol;Automatic;21;72071;70939;2836;Low
